Pct-Contest-Candidate totals for horry
     80 0107 County_Council_Chairman Tom_Rice 
     13 0107 County_Council_Chairman Vincent_Lehotsky 
     76 0107 Governor Nikki_R_Haley 
     16 0107 Governor Vincent_A_Sheheen 
      3 0107 Governor Morgan_Bruce_Reeves  
     14 0107 HSE0058_State_House_of_Representatives_D Butch_Johnson 
     81 0107 HSE0058_State_House_of_Representatives_D Liston_D_Barfield 
     75 0107 Lieutenant_Governor Ken_Ard 
     21 0107 Lieutenant_Governor Ashley_Cooper 
     85 0107 Probate_Judge Deirdre_W_Edmonds 
     49 0107 Public_Transportation_Referendum No 
     44 0107 Public_Transportation_Referendum Yes 
     14 0107 SCH0007_Board_of_Education_District_7 Paul_B_Hudson 
      9 0107 STRAIGHT_PARTY Democratic 
     44 0107 STRAIGHT_PARTY Republican 
      1 0107 STRAIGHT_PARTY Libertarian 
      2 0107 STRAIGHT_PARTY Independence 
      2 0107 STRAIGHT_PARTY Working_Families 
     79 0107 Secretary_of_State Mark_Hammond 
     14 0107 Secretary_of_State Marjorie_L_Johnson 
     44 0107 Soil__and_Water_District_Commission Glenn_Winburn 
      1 0107 Soil__and_Water_District_Commission W/I_EUGENE_FRIEND 
     42 0107 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
     87 0107 Solicitor_Circuit_15 Greg_Hembree 
     71 0107 State_Superintendent_of_Education Mick_Zais 
      5 0107 State_Superintendent_of_Education Tim_Moultrie 
      3 0107 State_Superintendent_of_Education Tony_Fayyazi 
      4 0107 State_Superintendent_of_Education Doretha_A_Bull 
     11 0107 State_Superintendent_of_Education Frank_Holleman 
     84 0107 State_Treasurer Curtis_Loftis 
     77 0107 U.S._Senate Jim_DeMint 
      6 0107 U.S._Senate Tom_Clements 
     12 0107 U.S._Senate Alvin_M_Greene 
      1 0108 Adjutant_General W/I_GOLD 
      1 0108 Adjutant_General W/I_NONE 
      1 0108 Adjutant_General W/I_RICE 
      1 0108 Adjutant_General W/I_SCOTT 
   1066 0108 Adjutant_General Bob_Livingston 
      1 0108 Adjutant_General W/I_THE_LONE_RANGER 
      1 0108 Adjutant_General W/I_WILLIAM_HURSTON 
    163 0108 Amendment_1 No 
   1216 0108 Amendment_1 Yes 
    181 0108 Amendment_2 No 
   1176 0108 Amendment_2 Yes 
    366 0108 Amendment_3 No 
