Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
0182 5137799     160     160     160 :     451
PCT TOTAL           OCEAN_FOREST_#2 0182     451:     610 (      159) ZORK
0183 5121265     108     108     108 :     108
0183 5136101     105     105     105 :     213
PCT TOTAL           OCEAN_FOREST_#3 0183     213:     331 (      118) ZORK
0184 5104997     138     138     138 :     138
0184 5121658     107     107     107 :     245
0184 5122562      79      79      79 :     324
0184 5123495     113     113     113 :     437
0184 5125887     106     106     106 :     543
0184 5126698     133     133     133 :     676
0184 5127989      94      94      94 :     770
PCT TOTAL             PALMETTO_BAYS 0184     770:    1024 (      254) ZORK
0185 5124824     101     101     101 :     101
0185 5127371      87      87      87 :     188
PCT TOTAL             PAWLEYS_SWAMP 0185     188:     188
0186 5128973      48      48      48 :      48
0186 5136608      48      48      48 :      96
PCT TOTAL             PLEASANT_VIEW 0186      96:      96
0187 5126415     191     191     191 :     191
0187 5132110      97      97      97 :     288
PCT TOTAL               POPLAR_HILL 0187     288:     303 (       15) ZORK
0188 5108328     132     132     132 :     132
0188 5125776     111     111     111 :     243
0188 5133392     133     133     133 :     376
PCT TOTAL            PORT_HARRELSON 0188     376:     376
0189 5111151     114     114     114 :     114
0189 5124204      84      84      84 :     198
0189 5125701     118     118     118 :     316
0189 5128557     115     115     115 :     431
PCT TOTAL               RACEPATH_#1 0189     431:     317 (     -114) ZORK
0190 5111168     167     167     167 :     167
0190 5121612     131     131     131 :     298
0190 5125827     127     127     127 :     425
PCT TOTAL               RACEPATH_#2 0190     425:     578 (      153) ZORK
0191 5120616     137     137     137 :     137
0191 5120785     148     148     148 :     285
PCT TOTAL                 RED_BLUFF 0191     285:     285
0193 5121038     143     143     143 :     143
0193 5121522     111     111     111 :     254
0193 5123997     121     121     121 :     375
0193 5124553     136     136     136 :     511
0193 5126254     120     120     120 :     631
0193 5132079     142     142     142 :     773
0193 5133250     129     129     129 :     902
PCT TOTAL               RED_HILL_#2 0193     902:     902
0194 5118240     138     138     138 :     138
0194 5121159     112     112     112 :     250
0194 5122200     127     127     127 :     377
0194 5125058     134     134     134 :     511
0194 5132736     126     126     126 :     637
PCT TOTAL                     SALEM 0194     637:     637
0195 5123936      96      96      96 :      96
0195 5124333      98      98      98 :     194
0195 5127388     107     107     107 :     301
0195 5127736      83      83      83 :     384
0195 5128491      73      73      73 :     457
0195 5131904      44      44      44 :     501
PCT TOTAL               SEA_OATS_#1 0195     501:     501
0196 5104999     119     119     119 :     119
0196 5106491     118     118     118 :     237
